InventoryID,ProductID,ProductName,WarehouseID,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
55,3042,Aluminum All-Mountain Poles - 115cm,WH_100,5,0,5,1,1,5,2026-12-30,57.66,Excess,system,2026-07-15
56,3051,Insulated Ski Jacket - Men's,WH_200,7,1,6,2,2,14,2026-12-29,167.9,Active,system,2026-07-21
57,3052,Thermal Base Layer Set - Women's,WH_200,10,1,9,2,3,12,2026-12-29,79.81,Active,system,2026-10-27
58,3053,Waterproof Ski Pants,WH_500,18,3,15,3,4,16,2026-12-30,123.28,Excess,system,2026-08-28
59,3061,Professional Ski Helmet,WH_100,0,0,0,1,1,7,2026-12-29,117.61,OutOfStock,system,2026-11-21
60,3062,Anti-Fog Ski Goggles,WH_100,2,0,2,1,1,16,2026-12-29,71.96,Active,system,2026-09-16
61,3062,Anti-Fog Ski Goggles,WH_200,0,0,0,1,1,16,2026-12-29,71.96,OutOfStock,system,2026-09-16
62,3071,Ski Boot Bag - Premium,WH_200,2,0,2,0,0,5,2026-12-30,34.5,Active,system,2026-09-17
63,3072,Hand Warmers - 10 Pack,WH_100,1,0,1,2,3,12,2026-12-30,8.13,LowStock,system,2026-09-22
64,3072,Hand Warmers - 10 Pack,WH_200,0,0,0,2,3,12,2026-12-30,8.13,OutOfStock,system,2026-09-22
65,3081,All-Temp Ski Wax Kit,WH_100,19,4,15,3,5,33,2026-12-29,43.8,Active,system,2026-07-17
66,3082,Edge Tuning Tool Set,WH_100,11,1,10,4,7,32,2026-12-29,59.43,Active,system,2026-07-31
67,3091,Freestyle Snowboard - 155cm,WH_100,4,1,3,1,1,10,2026-12-30,414.73,Active,system,2026-08-07
68,3092,All-Mountain Snowboard - 158cm,WH_200,2,0,2,2,3,13,2026-12-29,488.21,LowStock,system,2026-09-14
69,3092,All-Mountain Snowboard - 158cm,WH_200,0,0,0,2,3,13,2026-12-29,488.21,OutOfStock,system,2026-09-14
70,3101,Winter Boots - Insulated,WH_100,0,0,0,0,0,3,2026-12-30,91.11,OutOfStock,system,2026-10-05
71,3101,Winter Boots - Insulated,WH_200,0,0,0,0,0,3,2026-12-30,91.11,OutOfStock,system,2026-10-05
72,3102,Winter Hiking Boots - Waterproof,WH_100,2,0,2,0,0,3,2026-12-30,134.96,Active,system,2026-10-19
73,3103,Snowboard Bindings - Pro,WH_100,11,1,10,1,1,11,2026-12-30,177.45,Excess,system,2026-07-05
74,3104,Ski Tuning Bench - Portable,WH_100,6,1,5,4,5,19,2026-12-29,115.52,Active,system,2026-09-02
