ProductSupplierID,ProductID,ProductName,SupplierID,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
23,2542,Digital Kitchen Scale,2,PRO-2542,35.1,3,10000,6,Active,system,12/24/2018
24,2552,Measuring Cup Set,2,PRO-2552,19.5,8,10000,4,Active,system,11/27/2018
25,2562,Stainless Mixing Bowls,2,PRO-2562,46.8,2,10000,8,Active,system,12/13/2018
26,2572,Non-stick Frying Pan,2,PRO-2572,58.5,1,10000,9,Active,system,11/6/2018
27,2582,Cast Iron Dutch Oven,2,PRO-2582,78,1,10000,10,Active,system,12/2/2018
28,2592,Electric Stand Mixer,2,PRO-2592,234,1,10000,12,Active,system,11/22/2018
29,2602,Food Processor,2,PRO-2602,156,1,10000,11,Active,system,12/7/2018
30,2612,Instant-read Thermometer,2,PRO-2612,24.6,4,10000,3,Active,system,11/18/2018
31,2622,Spice Rack Organizer,2,PRO-2622,39,2,10000,7,Active,system,12/26/2018
32,2632,Bamboo Cutting Board,2,PRO-2632,31.2,3,10000,5,Active,system,11/12/2018
33,2642,Kitchen Timer Set,2,PRO-2642,15.6,6,10000,4,Active,system,12/20/2018
34,2652,Silicone Spatula Set,2,PRO-2652,18.9,7,10000,6,Active,system,11/8/2018
35,2662,Glass Storage Containers,2,PRO-2662,52,2,10000,8,Active,system,12/1/2018
36,2672,Coffee Bean Grinder,2,PRO-2672,67.2,1,10000,9,Active,system,11/25/2018
37,2682,Kitchen Towel Set,2,PRO-2682,22.1,4,10000,2,Active,system,12/15/2018
38,2692,Vegetable Steamer,2,PRO-2692,28.6,3,10000,7,Active,system,11/4/2018
39,2702,Oil Dispenser Bottle,2,PRO-2702,14.3,8,10000,3,Active,system,12/22/2018
40,2712,Cookbook Stand,2,PRO-2712,33.8,2,10000,5,Active,system,11/16/2018
41,3523,Alpine Snow Skis,3,WIN-3523,292.5,1,10000,14,Active,system,12/5/2018
42,3533,Ski Boot Collection,3,WIN-3533,195,1,10000,12,Active,system,11/20/2018
43,3543,Pro Ski Poles,3,WIN-3543,78,2,10000,10,Active,system,12/28/2018
44,3553,Snow Helmet,3,WIN-3553,117,1,10000,8,Active,system,11/7/2018
45,3563,Ski Goggles,3,WIN-3563,58.5,2,10000,6,Active,system,12/12/2018
46,3573,Thermal Base Layers,3,WIN-3573,46.8,3,10000,7,Active,system,11/13/2018
47,3583,Insulated Ski Gloves,3,WIN-3583,39,4,10000,5,Active,system,12/25/2018
48,3593,Ski Wax Kit,3,WIN-3593,23.4,5,10000,3,Active,system,11/11/2018
49,3603,Skiing Ensemble,3,WIN-3603,156,1,10000,11,Active,system,12/3/2018
50,3613,Après-ski Boots,3,WIN-3613,97.5,1,10000,9,Active,system,11/24/2018
51,3623,Snow Tube,3,WIN-3623,31.2,2,10000,4,Active,system,12/19/2018
52,3633,Ice Scraper,3,WIN-3633,12.48,8,10000,2,Active,system,11/17/2018
53,3643,Ski Rack,3,WIN-3643,67.6,1,10000,8,Active,system,12/14/2018
54,3653,Snow Shovel,3,WIN-3653,43.68,2,10000,6,Active,system,11/5/2018
55,3663,Winter Beanie,3,WIN-3663,21.06,6,10000,4,Active,system,12/27/2018
56,3673,Hand Warmers,3,WIN-3673,9.36,10,10000,3,Active,system,11/23/2018
57,3683,Thermal Socks,3,WIN-3683,18.72,7,10000,5,Active,system,12/10/2018
58,3693,Ski Bag,3,WIN-3693,54.6,1,10000,9,Active,system,11/1/2018
59,3703,Snowboard,3,WIN-3703,234,1,10000,13,Active,system,12/6/2018
60,3713,Snowboard Bindings,3,WIN-3713,117,1,10000,11,Active,system,11/29/2018
61,1521,Adventurer Pro Backpack,4,ALT-1521,120.75,6,8000,15,Active,system,12/12/2018
62,1531,Summit Breeze Jacket,4,ALT-1531,89.73,2,8000,12,Active,system,11/8/2018
63,1541,TrekReady Hiking Boots,4,ALT-1541,99.98,2,8000,10,Active,system,11/23/2018
64,1551,Adventure Daypack,4,ALT-1551,55.72,4,8000,14,Active,system,12/30/2018
65,1561,Trail Explorer Hat,4,ALT-1561,19.03,6,8000,7,Active,system,11/19/2018
66,2522,Pro Chef Knife Set,4,ALT-2522,96.04,2,8000,9,Active,system,12/1/2018
67,2532,Silicone Baking Mats,4,ALT-2532,23.05,6,8000,6,Active,system,11/15/2018
68,2542,Digital Kitchen Scale,4,ALT-2542,34.58,4,8000,8,Active,system,12/17/2018
69,2552,Measuring Cup Set,4,ALT-2552,19.22,9,8000,5,Active,system,11/26/2018
70,2562,Stainless Mixing Bowls,4,ALT-2562,46.12,3,8000,10,Active,system,12/4/2018
71,3523,Alpine Snow Skis,5,SPE-3523,288.08,2,5000,16,Active,system,12/21/2018
72,3533,Ski Boot Collection,5,SPE-3533,192.08,2,5000,14,Active,system,11/10/2018
73,3543,Pro Ski Poles,5,SPE-3543,76.83,3,5000,12,Active,system,12/23/2018
74,3553,Snow Helmet,5,SPE-3553,115.25,2,5000,10,Active,system,11/2/2018
75,3563,Ski Goggles,5,SPE-3563,57.62,3,5000,8,Active,system,12/8/2018
